name:Site	SiteName
units:none	none
description:Acronym of the site contributing the data	Site name
datatype:s	s
variabletype:nominal	nominal
numbertype:none	none
precision:0	0
Dataset_Title:Sites in ClimDB/HydroDB
AND	H.J.~Andrews~Experimental~Forest
ARC	Arctic~Tundra
BES	Baltimore~Ecosystem~Study
BNZ	Bonanza~Creek~Experimental~Forest
CAP	Central~Arizona~-~Phoenix
CAS	Caspar~Creek~Experimental~Watersheds
CCE	California~Current~Ecosystem
CDR	Cedar~Creek~Ecosystem~Science~Reserve
CWT	Coweeta~Hydrologic~Laboratory
FCE	Florida~Coastal~Everglades
FER	Fernow~Experimental~Forest
FLE	Fleming~Creek~Watersheds
FRA	Fraser~Experimental~Forest
GCE	Georgia~Coastal~Ecosystems
GRE	Great~Basin~Experimental~Range
HBR	Hubbard~Brook
HFR	Harvard~Forest
HOR	Horse~Creek~Study~Watersheds
JRN	Jornada~Basin
KBS	Kellogg~Biological~Station
KEW	Kings~River~Experimental~Watershed
KNZ	Konza~Prairie
LHC	TFRI-Lienhuachih~Research~Center
LUQ	Luquillo~Experimental~Forest
MAR	Marcell~Experimental~Forest
MCM	McMurdo~Dry~Valleys
MCR	Moorea~Coral~Reef
MEF	Maybeso~Creek~Experimental~Forest
NEV	Neversink~Valley~Delaware~River~Basin
NTL	North~Temperate~Lakes
NWT	Niwot~Ridge
OLY	Olympic~Experimental~State~Forest
PAL	Palmer~Station
PIE	Plum~Island~Ecosystem
PIN	The~Pine~Watersheds
SBC	Santa~Barbara~Coastal
SER	TERN~-~Shanping~Ecological~Research~Station
SEV	Sevilleta~National~Wildlife~Refuge
SGS	Shortgrass~Steppe
SIL	Silver~Creek~Experimental~Watersheds
SNT	Santee~Experimental~Forest~Watersheds
TAE	TERN~-~Taiwan~Agricultural~Ecosystem~Research
TEN	Tenderfoot~Creek~Experimental~Forest
VCR	Virginia~Coast~Reserve
YEF	Young~Bay~Experimental~Forest
