name:Site	Station	StationName	Date_Start	Date_End	Date_Latest
units:none	none	none	YYYY-MM-DD	YYYY-MM-DD	YYYY-MM-DD
description:Acronym of the site contributing the data	Station code	Station name	Earliest date of record	Latest date of record	Date of latest update
datatype:s	s	s	s	s	s
variabletype:nominal	nominal	nominal	datetime	datetime	datetime
numbertype:none	none	none	none	none	none
precision:0	0	0	0	0	0
Dataset_Title:Sites, Stations in ClimDB/HydroDB
AND	CENMET	Central~Meteorological~Station	1995-08-23	2012-05-15	2013-06-30
AND	CS2MET	Climatic~Station~at~WS#2~~~~~~~~~~~~~~~~~~~~~~~~~~	1957-10-01	2012-02-27	2013-06-30
AND	H15MET	Hi-15~Meteorological~Station	1963-10-01	2012-01-12	2013-06-30
AND	PRIMET	Primary~Meteorological~Station	1972-05-10	2012-05-08	2013-06-30
AND	UPLMET	Upper~Lookout~Meteorological~Station	1994-10-01	2012-05-28	2013-06-30
AND	VANMET	Vanilla~Leaf~Meteorological~Station	1987-06-16	2012-05-15	2013-06-30
AND	GSLOOK	Lookout~Creek~Gauging~Station~(USGS~14161500)	1949-10-01	2013-10-23	2013-10-25
AND	GSMACK	Mack~Creek~Gauging~Station	1979-10-01	2012-09-30	2013-06-30
AND	GSWS01	GSWS01	1952-10-01	2009-09-30	2010-03-16
AND	GSWS02	GSWS02	1952-10-01	2009-09-30	2010-03-16
AND	GSWS03	GSWS03	1952-10-01	2009-09-30	2010-03-16
AND	GSWS06	GSWS06	1963-10-01	2009-09-30	2010-03-16
AND	GSWS07	GSWS07	1963-10-01	2009-09-30	2010-03-16
AND	GSWS08	GSWS08	1963-10-01	2009-09-30	2010-03-16
AND	GSWS09	GSWS09	1968-10-01	2009-09-30	2010-03-16
AND	GSWS10	GSWS10	1968-10-01	2009-09-30	2010-03-16
ARC	TLKMAIN	Toolik~Lake~Field~Station	1988-06-01	2011-12-31	2013-05-14
ARC	Kuparuk	Kuparuk~River	1983-07-15	2010-08-14	2013-05-20
ARC	Oksrukuyik	Oksrukuyik~River	1990-05-27	2009-08-12	2013-05-20
ARC	Tlk_Inlet	Toolik~Inlet	1992-06-19	2003-08-15	2013-05-20
BES	BWI	BWI~Airport	1999-01-01	2010-12-31	2011-06-23
BES	DMH	Inner~Harbor	2000-01-01	2010-12-31	2011-07-15
BES	Mcdonogh1	McDonogh~Primary	2000-04-27	2010-12-31	2013-04-15
BES	BaismanRun	Baisman~Run~at~Broadmoor~MD~(USGS~1583580)	1964-08-01	2013-10-24	2013-10-25
BES	CarrollPk	Gwynns~Falls~at~Rt~1/Carroll~Park~(USGS~01589352)	1998-10-01	2013-10-24	2013-10-25
BES	DeadRun	Dead~Run~at~Franklintown~(USGS~01589330)	1959-10-01	2013-10-24	2013-10-25
BES	Glyndon	Gwynns~Falls~at~Glyndon~(USGS~01589180~)	1998-10-01	2013-10-24	2013-10-25
BES	Gwynnbrook	Gwynns~Falls~at~Gwynnbrook/Delight~(USGS~01589197)	1998-10-01	2013-10-24	2013-10-25
BES	GwynnsRun	Gwynns~Run~at~Gwynns~Falls~(USGS~158935180)	2001-10-01	2005-09-30	2007-05-11
BES	McDonough	McDonough~School~(USGS~01589238)	1999-10-01	2013-10-24	2013-10-25
BES	PondBranch	Pond~Branch~~(USGS~01583570)	1983-01-01	2013-10-24	2013-10-25
BES	RognelHgts	Rognel~Heights~storm~sewer~outfall~at~Baltimore~(USGS~1589340)	1998-10-01	2010-09-30	2011-03-18
BES	VillaNova	Gwynns~Falls~at~Villa~Nova~(USGS~01589300)	1957-02-01	2013-10-24	2013-10-25
BNZ	FP3A	FP3A	1988-01-01	2012-12-31	2013-05-15
BNZ	FP4A	FP4A	1989-01-01	2012-12-31	2013-05-15
BNZ	FP5A	FP5A	1989-07-11	2008-12-19	2009-01-19
BNZ	LTER1	LTER1	1988-06-01	2012-12-31	2013-05-15
BNZ	LTER2	LTER2	1988-06-02	2008-12-19	2009-04-27
BNZ	C2_STRM	Caribou~Watershed~2~stream~gauge	1969-06-16	2012-09-04	2013-05-15
BNZ	C3_STRM	Caribou~Watershed~3~stream~gauge	1969-05-19	2012-09-04	2013-05-15
BNZ	C4_STRM	Caribou~Watershed~4~stream~gauge	1980-05-21	2011-08-30	2013-05-15
CAP	1	Tucson	1987-01-01	2013-05-31	2013-06-02
CAP	10	U~of~A~Citrus~Farm	1987-02-12	2010-05-31	2012-02-06
CAP	11	Litchfield~Park	1987-05-12	2003-02-03	2012-02-06
CAP	12	Phoenix-Greenway	1987-07-29	2013-05-31	2013-06-02
CAP	13	Marana	1987-09-01	2011-12-14	2012-02-06
CAP	14	Yuma~North-Gila	1988-01-22	2013-05-31	2013-06-02
CAP	15	Phoenix-Encanto	1988-08-26	2013-05-31	2013-06-02
CAP	16	Eloy	1987-11-01	2005-03-31	2012-02-06
CAP	17	Dateland	1990-03-09	1996-12-31	2013-03-08
CAP	18	Scottsdale	1991-06-13	1998-09-09	2012-02-06
CAP	19	Paloma	1989-05-01	2013-05-31	2013-06-02
CAP	2	Yuma~Valley	1987-01-01	2013-05-31	2013-06-02
CAP	20	Mohave	1992-01-01	2013-05-31	2013-06-02
CAP	21	Laveen	1994-01-01	2001-09-30	2012-02-06
CAP	22	Queen~Creek~~~	1995-03-09	2013-05-31	2013-06-02
CAP	23	Harquahala~~~	1996-03-08	2013-05-31	2013-06-02
CAP	24	Roll~~~	1997-02-20	2009-12-31	2010-08-13
CAP	25	Ciudad~Obregon	1997-04-04	1998-09-30	2012-02-06
CAP	26	Buckeye~~~	1998-01-24	2013-05-31	2013-06-02
CAP	27	Desert~Ridge	2002-08-13	2013-05-31	2013-06-02
CAP	28	Mohave~2	2003-01-01	2013-05-31	2013-06-02
CAP	29	Mesa	2003-07-25	2013-05-31	2013-06-02
CAP	3	Yuma~Mesa	1987-01-01	2009-11-15	2012-02-06
CAP	30	Flagstaff	2003-11-08	2010-04-16	2012-02-06
CAP	31	Prescott	2003-11-08	2013-05-31	2013-06-02
CAP	32	Payson	2003-11-08	2013-05-31	2013-06-02
CAP	33	Bowie	2004-07-31	2013-05-31	2013-06-02
CAP	34	Kansas~Settlement	2006-07-19	2013-05-31	2013-06-02
CAP	35	Parker~2	2009-01-24	2013-05-31	2013-06-02
CAP	36	Yuma~South	2009-11-18	2013-05-31	2013-06-02
CAP	4	Safford	1987-01-01	2013-05-31	2013-06-02
CAP	5	Coolidge	1986-01-01	2013-05-31	2013-06-02
CAP	6	Maricopa	1987-01-01	2013-05-31	2013-06-02
CAP	7	Aguila	1986-01-01	2013-05-31	2013-06-02
CAP	8	Parker	1986-01-01	2013-05-31	2013-06-02
CAP	9	Bonita	1987-01-01	2013-05-31	2013-06-02
CAP	DBG	Desert~Botanical~Garden~	2000-04-17	2002-12-06	2004-05-17
CAP	PH	Presidents~House~	2001-01-26	2004-05-14	2004-05-17
CAP	TCS	Community~Services~Building~	2001-02-08	2004-05-14	2004-05-17
CAP	09498500	SALT~RIVER~NEAR~ROOSEVELT~AZ	1913-10-01	2013-10-23	2013-10-25
CAP	09499000	TONTO~CREEK~ABV~GUN~CREEK~NEAR~ROOSEVELT~AZ	1940-12-21	2013-10-23	2013-10-25
CAP	09502000	SALT~RIVER~BLW~STEWART~MTN~DAM~ABOVE~VERDE~RIVER	1934-10-01	2013-10-23	2013-10-25
CAP	09508500	VERDE~RIVER~ABV~HORSESHOE~DAM~	1945-08-22	2013-10-23	2013-10-25
