name:Site	Station	Variable	Date_Start	Date_End	Date_Latest
units:none	none	none	YYYY-MM-DD	YYYY-MM-DD	YYYY-MM-DD
description:Acronym of the site contributing the data	Station code	Variable name	Earliest date of record	Latest date of record	Date of last update
datatype:s	s	s	s	s	s
variabletype:nominal	nominal	nominal	datetime	datetime	datetime
numbertype:none	none	none	none	none	none
precision:0	0	0	0	0	0
Dataset_Title:Sites, Stations and Variables in ClimDB/HydroDB
AND	CENMET	DAILY_AIRTEMP_ABSMAX_C	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_AIRTEMP_ABSMIN_C	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_AIRTEMP_MEAN_C	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_GLOBALRAD_TOTAL_MJM2	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_PRECIP_TOTAL_MM	1995-08-23	2010-11-11	2011-09-12  
AND	CENMET	DAILY_RESWINDSP_MEAN_MSEC	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_RH_MEAN_PCT	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_WINDDIR_MEAN_DEG	1995-08-23	2012-05-15	2013-06-30  
AND	CENMET	DAILY_WINDSP_MEAN_MSEC	1995-08-23	2012-05-15	2013-06-30  
AND	CS2MET	DAILY_AIRTEMP_ABSMAX_C	1957-10-01	2012-02-27	2013-06-30  
AND	CS2MET	DAILY_AIRTEMP_ABSMIN_C	1957-10-01	2012-02-27	2013-06-30  
AND	CS2MET	DAILY_AIRTEMP_MEAN_C	1957-10-01	2012-02-27	2013-06-30  
AND	CS2MET	DAILY_PRECIP_TOTAL_MM	1957-10-01	2009-08-25	2009-10-01  
AND	CS2MET	DAILY_RH_MEAN_PCT	1958-02-03	2012-02-27	2013-06-30  
AND	GSLOOK	DAILY_DISCHARGE_MEAN_LPS	1949-10-01	2013-10-23	2013-10-25  
AND	GSLOOK	DAILY_WATERTEMP_ABSMAX_C	1998-11-22	2013-10-23	2013-10-25  
AND	GSLOOK	DAILY_WATERTEMP_ABSMIN_C	1998-11-22	2013-10-23	2013-10-25  
AND	GSMACK	DAILY_DISCHARGE_MEAN_LPS	1979-10-01	2012-09-30	2013-06-30  
AND	GSWS01	DAILY_DISCHARGE_MEAN_LPS	1952-10-01	2009-09-30	2010-03-16  
AND	GSWS02	DAILY_DISCHARGE_MEAN_LPS	1952-10-01	2009-09-30	2010-03-16  
AND	GSWS03	DAILY_DISCHARGE_MEAN_LPS	1952-10-01	2009-09-30	2010-03-16  
