Date/Time,Seconds,Volt,T1,T2,T3,T4,T5,T6,T7,T8,Cnt1,Cnt2,Cnt3,Cnt4,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,kWh1,kWh2,kWh3,kWh4,kWh5,kWh6,kWh7,kWh8,kWh9,kWh10,kWh11,kWh12,kWh13,kWh14,kWh15,kWh16,kWh17,kWh18,kWh19,kWh20,kWh21,kWh22,kWh23,kWh24,kWh25,kWh26,kWh27,kWh28,kWh29,kWh30,kWh31,kWh32
2014-07-16 14:54:17,18,104.8,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 106 W, 1 W, 1 W, 0 W, 0 W, 95 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 1 W, 0 W, 0 W, 0 W, 0 W, 0 W, 12 W,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000
2014-07-16 14:55:32,90,104.8,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 103 W, 1 W, 1 W, 0 W, 0 W, 95 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 1 W, 0 W, 0 W, 0 W, 0 W, 0 W, 10 W,.000,.000,.000,.000,.000,.003,.000,.000,.000,.000,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000
2014-07-16 14:57:32,210,105.1,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 101 W, 1 W, 1 W, 0 W, 0 W, 95 W, 3 W, 15 W, 12 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 10 W,.000,.000,.000,.000,.000,.006,.000,.000,.000,.000,.006,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001
2014-07-16 14:59:32,330,104.5,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 99 W, 1 W, 1 W, 0 W, 0 W, 15 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 38 W,.000,.000,.000,.000,.000,.009,.000,.000,.000,.000,.006,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.000,.000,.000,.000,.000,.000,.000,.002
2014-07-16 15:01:32,450,105.1,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 97 W, 1 W, 1 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 43 W,.000,.000,.000,.000,.000,.013,.000,.000,.000,.000,.006,.000,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.000,.000,.000,.000,.000,.000,.000,.003
2014-07-16 15:03:32,570,104.5,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 96 W, 1 W, 101 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 1 W, 0 W, 0 W, 0 W, 0 W, 0 W, 78 W,.000,.000,.000,.000,.000,.016,.000,.004,.000,.000,.006,.001,.003,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.000,.000,.000,.000,.000,.000,.000,.006
2014-07-16 15:05:32,690,104.3,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 55 W, 1 W, 96 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 62 W,.000,.000,.000,.000,.000,.018,.000,.007,.000,.000,.006,.001,.003,.002,.000,.000,.000,.000,.000,.000,.000,.001,.000,.004,.001,.000,.000,.000,.000,.000,.000,.008
2014-07-16 15:07:32,810,105.1,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 1 W, 94 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 1 W, 0 W, 0 W, 0 W, 0 W, 0 W, 41 W,.000,.000,.000,.000,.000,.018,.000,.010,.000,.000,.006,.001,.004,.003,.000,.000,.000,.000,.000,.000,.000,.001,.000,.004,.001,.000,.000,.000,.000,.000,.000,.009
2014-07-16 15:09:32,930,104.9,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 1 W, 92 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 41 W,.000,.000,.000,.000,.000,.018,.000,.013,.000,.000,.006,.001,.004,.003,.000,.000,.000,.000,.000,.000,.000,.001,.000,.005,.001,.000,.000,.000,.000,.000,.000,.011
2014-07-16 15:11:32,1050,104.6,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,.0 C,0,0,0,0, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 1 W, 80 W, 0 W, 0 W, 0 W, 3 W, 15 W, 11 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 3 W, 0 W, 18 W, 3 W, 0 W, 0 W, 0 W, 0 W, 0 W, 0 W, 36 W,.000,.000,.000,.000,.000,.018,.000,.016,.000,.000,.006,.001,.005,.003,.000,.000,.000,.000,.000,.000,.000,.001,.000,.005,.001,.000,.000,.000,.000,.000,.000,.012
