FRACHOURS, 2SIGMALO, 2SIGMAHI, 3SIGMALO, 3SIGMAHI, 4SIGMALO, 4SIGMAHI
1.0,2.06,7.69,0.65,9.1,-0.75,10.51
1.04,2.04,7.67,0.63,9.08,-0.78,10.49
1.08,2.01,7.65,0.6,9.06,-0.82,10.47
1.13,2,7.63,0.59,9.04,-0.82,10.45
1.17,1.98,7.61,0.57,9.02,-0.84,10.43
1.21,1.95,7.59,0.54,9,-0.87,10.42
1.25,1.94,7.58,0.53,8.99,-0.89,10.4
1.29,1.91,7.56,0.49,8.98,-0.92,10.39
1.33,1.89,7.56,0.47,8.98,-0.95,10.4
1.38,1.89,7.54,0.47,8.95,-0.94,10.37
1.42,1.9,7.59,0.48,9.01,-0.95,10.43
1.46,1.96,7.64,0.54,9.06,-0.88,10.48
1.5,2.07,7.7,0.66,9.1,-0.75,10.51
1.54,2.17,7.77,0.77,9.18,-0.63,10.58
1.58,2.23,7.83,0.83,9.23,-0.57,10.63
1.63,2.24,7.92,0.82,9.34,-0.6,10.76
1.67,2.25,7.94,0.82,9.36,-0.6,10.78
1.71,2.24,7.9,0.83,9.32,-0.59,10.74
1.75,2.23,7.85,0.83,9.25,-0.57,10.65
1.79,2.22,7.79,0.83,9.18,-0.56,10.57
1.83,2.2,7.72,0.82,9.1,-0.56,10.47
1.88,2.18,7.66,0.81,9.03,-0.56,10.4
1.92,2.16,7.61,0.79,8.97,-0.57,10.34
1.96,2.13,7.6,0.77,8.96,-0.6,10.33
2.0,2.11,7.59,0.74,8.96,-0.63,10.33
2.04,2.09,7.56,0.72,8.93,-0.65,10.3
2.08,2.05,7.55,0.68,8.92,-0.69,10.29
2.13,2.05,7.52,0.68,8.89,-0.69,10.26
2.17,2.02,7.51,0.65,8.88,-0.72,10.25
2.21,1.99,7.5,0.62,8.88,-0.76,10.26
2.25,1.98,7.5,0.6,8.87,-0.78,10.25
2.29,1.95,7.48,0.56,8.86,-0.82,10.25
2.33,1.93,7.48,0.54,8.87,-0.85,10.25
2.38,1.92,7.46,0.54,8.84,-0.85,10.22
2.42,1.92,7.5,0.53,8.89,-0.87,10.29
2.46,1.97,7.56,0.58,8.95,-0.82,10.35
2.5,2.08,7.61,0.7,8.99,-0.68,10.37
2.54,2.19,7.69,0.81,9.06,-0.56,10.43
2.58,2.25,7.75,0.88,9.12,-0.5,10.5
2.63,2.26,7.84,0.86,9.23,-0.54,10.63
2.67,2.26,7.86,0.86,9.26,-0.54,10.66
2.71,2.26,7.83,0.87,9.23,-0.53,10.62
2.75,2.26,7.77,0.88,9.14,-0.5,10.52
2.79,2.24,7.72,0.87,9.09,-0.49,10.46
2.83,2.22,7.65,0.87,9,-0.49,10.36
2.88,2.2,7.61,0.84,8.96,-0.51,10.31
2.92,2.17,7.57,0.83,8.91,-0.52,10.26
2.96,2.15,7.54,0.81,8.88,-0.54,10.23
3.0,2.13,7.53,0.78,8.88,-0.57,10.23
3.04,2.11,7.51,0.75,8.86,-0.6,10.21
3.08,2.07,7.49,0.72,8.84,-0.64,10.2
3.13,2.05,7.47,0.7,8.82,-0.65,10.18
3.17,2.02,7.46,0.67,8.82,-0.69,10.17
3.21,2,7.45,0.64,8.81,-0.72,10.17
3.25,1.98,7.44,0.62,8.81,-0.75,10.17
3.29,1.95,7.43,0.58,8.8,-0.79,10.17
3.33,1.93,7.44,0.55,8.81,-0.83,10.19
3.38,1.92,7.42,0.54,8.8,-0.83,10.18
3.42,1.92,7.46,0.53,8.85,-0.86,10.24
3.46,1.96,7.53,0.56,8.92,-0.83,10.31
3.5,2.07,7.6,0.68,8.98,-0.7,10.36
3.54,2.18,7.67,0.81,9.05,-0.56,10.42
3.58,2.25,7.75,0.87,9.12,-0.51,10.5
3.63,2.25,7.84,0.85,9.24,-0.54,10.64
3.67,2.26,7.87,0.86,9.27,-0.54,10.67
3.71,2.26,7.84,0.86,9.24,-0.53,10.63
3.75,2.25,7.77,0.88,9.15,-0.5,10.53
3.79,2.25,7.72,0.88,9.09,-0.49,10.46
3.83,2.23,7.65,0.87,9,-0.48,10.36
3.88,2.2,7.61,0.85,8.96,-0.5,10.31
3.92,2.18,7.56,0.84,8.91,-0.5,10.25
3.96,2.17,7.53,0.83,8.87,-0.51,10.2
4.0,2.14,7.52,0.8,8.86,-0.54,10.2
4.04,2.13,7.49,0.79,8.83,-0.55,10.17
4.08,2.1,7.47,0.75,8.82,-0.59,10.16
4.13,2.08,7.45,0.74,8.79,-0.6,10.13
4.17,2.05,7.43,0.71,8.78,-0.64,10.12
4.21,2.04,7.42,0.69,8.77,-0.65,10.11
4.25,2.02,7.41,0.68,8.76,-0.67,10.11
4.29,1.99,7.39,0.64,8.75,-0.71,10.1
4.33,1.97,7.4,0.61,8.76,-0.75,10.12
4.38,1.97,7.39,0.61,8.74,-0.74,10.1
4.42,1.96,7.42,0.6,8.79,-0.77,10.16
4.46,2,7.49,0.63,8.86,-0.74,10.23
4.5,2.11,7.56,0.75,8.92,-0.61,10.28
4.54,2.23,7.64,0.88,8.99,-0.47,10.34
4.58,2.3,7.71,0.94,9.06,-0.41,10.42
4.63,2.3,7.8,0.93,9.18,-0.45,10.55
4.67,2.31,7.83,0.93,9.21,-0.45,10.59
4.71,2.31,7.81,0.93,9.18,-0.44,10.56
4.75,2.3,7.73,0.95,9.09,-0.41,10.45
4.79,2.3,7.68,0.95,9.03,-0.39,10.38
