FRACHOURS, 2SIGMALO, 2SIGMAHI, 3SIGMALO, 3SIGMAHI, 4SIGMALO, 4SIGMAHI
0.0,-4.54,5.71,-7.1,8.27,-9.66,10.83
0.04,-4.64,5.67,-7.22,8.25,-9.8,10.82
0.08,-4.75,5.65,-7.35,8.25,-9.95,10.85
0.13,-4.85,5.64,-7.48,8.26,-10.1,10.88
0.17,-4.94,5.61,-7.58,8.24,-10.22,10.88
0.21,-5.04,5.61,-7.7,8.28,-10.37,10.94
0.25,-5.13,5.61,-7.82,8.3,-10.5,10.98
0.29,-5.22,5.64,-7.93,8.35,-10.64,11.06
0.33,-5.24,5.64,-7.96,8.36,-10.69,11.08
0.38,-5.11,5.72,-7.82,8.43,-10.53,11.14
0.42,-4.76,5.97,-7.44,8.65,-10.12,11.34
0.46,-4.22,6.3,-6.85,8.93,-9.48,11.56
0.5,-3.72,6.68,-6.32,9.29,-8.92,11.89
0.54,-3.4,7.09,-6.02,9.72,-8.64,12.34
0.58,-3.28,7.38,-5.95,10.05,-8.61,12.71
0.63,-3.31,7.4,-5.99,10.08,-8.66,12.76
0.67,-3.36,7.16,-6,9.79,-8.63,12.42
0.71,-3.51,6.77,-6.08,9.34,-8.65,11.91
0.75,-3.7,6.43,-6.23,8.97,-8.77,11.5
0.79,-3.86,6.17,-6.36,8.68,-8.87,11.19
0.83,-3.98,5.97,-6.47,8.45,-8.95,10.94
0.88,-4.07,5.77,-6.53,8.23,-8.99,10.69
0.92,-4.17,5.68,-6.64,8.15,-9.1,10.61
0.96,-4.3,5.64,-6.78,8.12,-9.26,10.6
1.0,-4.37,5.57,-6.86,8.06,-9.34,10.55
1.04,-4.48,5.53,-6.98,8.03,-9.48,10.54
1.08,-4.59,5.51,-7.12,8.04,-9.64,10.56
1.13,-4.69,5.5,-7.24,8.05,-9.79,10.6
1.17,-4.79,5.48,-7.35,8.05,-9.92,10.61
1.21,-4.88,5.49,-7.48,8.08,-10.07,10.67
1.25,-4.97,5.48,-7.58,8.1,-10.2,10.71
1.29,-5.06,5.52,-7.7,8.16,-10.35,10.81
1.33,-5.08,5.53,-7.74,8.18,-10.39,10.83
1.38,-4.95,5.62,-7.59,8.26,-10.23,10.9
1.42,-4.58,5.85,-7.19,8.46,-9.8,11.07
1.46,-4.04,6.19,-6.59,8.74,-9.15,11.3
1.5,-3.58,6.61,-6.13,9.16,-8.68,11.71
1.54,-3.28,7.05,-5.86,9.63,-8.45,12.21
1.58,-3.19,7.36,-5.82,9.99,-8.46,12.63
1.63,-3.22,7.39,-5.87,10.05,-8.52,12.7
1.67,-3.28,7.16,-5.88,9.76,-8.49,12.37
1.71,-3.42,6.76,-5.96,9.31,-8.5,11.85
1.75,-3.59,6.42,-6.09,8.92,-8.59,11.42
1.79,-3.74,6.17,-6.22,8.65,-8.7,11.13
1.83,-3.87,5.99,-6.33,8.45,-8.79,10.91
1.88,-3.96,5.79,-6.4,8.23,-8.84,10.67
1.92,-4.08,5.69,-6.52,8.13,-8.96,10.57
1.96,-4.2,5.63,-6.66,8.09,-9.12,10.55
2.0,-4.28,5.56,-6.74,8.02,-9.2,10.49
2.04,-4.39,5.51,-6.86,7.99,-9.34,10.46
2.08,-4.51,5.52,-7.01,8.02,-9.52,10.53
2.13,-4.6,5.51,-7.13,8.03,-9.66,10.56
2.17,-4.71,5.5,-7.26,8.05,-9.81,10.6
2.21,-4.81,5.49,-7.38,8.06,-9.96,10.64
2.25,-4.9,5.48,-7.5,8.07,-10.09,10.67
2.29,-4.99,5.52,-7.62,8.14,-10.25,10.77
2.33,-5.02,5.53,-7.66,8.17,-10.3,10.81
2.38,-4.9,5.63,-7.53,8.26,-10.17,10.9
2.42,-4.54,5.89,-7.15,8.5,-9.76,11.11
2.46,-3.99,6.23,-6.55,8.79,-9.11,11.35
2.5,-3.53,6.69,-6.09,9.25,-8.64,11.8
2.54,-3.24,7.16,-5.84,9.76,-8.44,12.36
2.58,-3.14,7.47,-5.79,10.12,-8.44,12.77
2.63,-3.17,7.51,-5.84,10.18,-8.51,12.85
2.67,-3.24,7.27,-5.86,9.9,-8.49,12.52
2.71,-3.38,6.88,-5.95,9.44,-8.51,12
2.75,-3.57,6.55,-6.1,9.09,-8.64,11.62
2.79,-3.74,6.33,-6.26,8.84,-8.77,11.36
2.83,-3.87,6.14,-6.38,8.65,-8.88,11.15
2.88,-3.98,5.94,-6.46,8.42,-8.94,10.9
2.92,-4.11,5.84,-6.59,8.33,-9.08,10.82
2.96,-4.25,5.8,-6.76,8.32,-9.27,10.83
3.0,-4.33,5.74,-6.85,8.26,-9.37,10.78
3.04,-4.44,5.7,-6.97,8.23,-9.51,10.76
3.08,-4.54,5.69,-7.1,8.25,-9.66,10.81
3.13,-4.62,5.67,-7.2,8.24,-9.77,10.81
3.17,-4.72,5.64,-7.31,8.23,-9.91,10.83
3.21,-4.82,5.63,-7.43,8.24,-10.05,10.86
3.25,-4.9,5.61,-7.53,8.24,-10.16,10.86
3.29,-4.98,5.63,-7.63,8.28,-10.28,10.93
3.33,-5.01,5.63,-7.66,8.29,-10.32,10.95
3.38,-4.88,5.73,-7.53,8.38,-10.19,11.03
3.42,-4.52,5.98,-7.14,8.61,-9.77,11.23
3.46,-3.94,6.31,-6.5,8.87,-9.06,11.43
3.5,-3.44,6.73,-5.98,9.27,-8.53,11.82
3.54,-3.12,7.17,-5.7,9.74,-8.27,12.32
3.58,-3.01,7.46,-5.62,10.07,-8.24,12.69
3.63,-3.01,7.47,-5.63,10.09,-8.25,12.71
3.67,-3.08,7.23,-5.66,9.8,-8.23,12.38
3.71,-3.21,6.82,-5.72,9.33,-8.23,11.84
3.75,-3.39,6.48,-5.86,8.95,-8.32,11.42
3.79,-3.55,6.24,-5.99,8.69,-8.44,11.14
3.83,-3.67,6.04,-6.1,8.47,-8.53,10.9
3.88,-3.77,5.83,-6.17,8.23,-8.57,10.63
3.92,-3.89,5.72,-6.29,8.13,-8.7,10.53
3.96,-4.04,5.69,-6.47,8.12,-8.9,10.55
4.0,-4.15,5.64,-6.59,8.08,-9.04,10.53
4.04,-4.27,5.6,-6.74,8.07,-9.2,10.53
4.08,-4.39,5.59,-6.88,8.09,-9.38,10.58
4.13,-4.47,5.57,-6.98,8.08,-9.49,10.59
4.17,-4.57,5.54,-7.1,8.07,-9.62,10.6
4.21,-4.67,5.53,-7.22,8.08,-9.77,10.63
4.25,-4.77,5.52,-7.34,8.09,-9.91,10.66
4.29,-4.85,5.53,-7.45,8.13,-10.04,10.73
4.33,-4.89,5.54,-7.5,8.14,-10.1,10.75
4.38,-4.77,5.63,-7.37,8.23,-9.97,10.83
4.42,-4.39,5.89,-6.96,8.46,-9.53,11.03
4.46,-3.79,6.21,-6.29,8.71,-8.79,11.21
4.5,-3.27,6.64,-5.75,9.12,-8.22,11.6
4.54,-2.95,7.09,-5.46,9.61,-7.97,12.12
4.58,-2.84,7.4,-5.4,9.96,-7.95,12.51
4.63,-2.85,7.42,-5.42,9.98,-7.99,12.55
4.67,-2.93,7.18,-5.46,9.7,-7.99,12.23
4.71,-3.07,6.78,-5.54,9.24,-8,11.7
4.75,-3.24,6.42,-5.66,8.84,-8.08,11.26
4.79,-3.4,6.17,-5.79,8.56,-8.18,10.95
4.83,-3.53,5.98,-5.91,8.35,-8.29,10.73
4.88,-3.63,5.77,-5.98,8.12,-8.33,10.47
4.92,-3.76,5.66,-6.11,8.02,-8.47,10.37
4.96,-3.92,5.62,-6.3,8.01,-8.68,10.39
5.0,-4.03,5.57,-6.43,7.97,-8.83,10.37
5.04,-4.16,5.53,-6.58,7.95,-9,10.38
5.08,-4.27,5.52,-6.72,7.97,-9.17,10.41
5.13,-4.36,5.48,-6.82,7.94,-9.28,10.4
5.17,-4.46,5.47,-6.94,7.95,-9.42,10.43
5.21,-4.57,5.46,-7.07,7.96,-9.58,10.47
5.25,-4.66,5.45,-7.19,7.98,-9.72,10.51
5.29,-4.76,5.48,-7.32,8.04,-9.88,10.6
5.33,-4.83,5.51,-7.42,8.1,-10,10.68
5.38,-4.73,5.62,-7.32,8.21,-9.91,10.8
5.42,-4.34,5.89,-6.89,8.45,-9.45,11
5.46,-3.75,6.23,-6.25,8.72,-8.74,11.22
5.5,-3.25,6.68,-5.73,9.16,-8.21,11.64
5.54,-2.94,7.18,-5.47,9.7,-8,12.23
5.58,-2.82,7.49,-5.4,10.07,-7.98,12.65
5.63,-2.84,7.52,-5.43,10.11,-8.02,12.7
5.67,-2.92,7.3,-5.48,9.85,-8.03,12.41
5.71,-3.06,6.89,-5.54,9.38,-8.03,11.87
5.75,-3.2,6.52,-5.63,8.95,-8.06,11.37
5.79,-3.32,6.25,-5.71,8.64,-8.1,11.03
5.83,-3.45,6.04,-5.82,8.42,-8.19,10.79
5.88,-3.55,5.83,-5.89,8.18,-8.24,10.52
5.92,-3.66,5.71,-6.01,8.06,-8.35,10.4
5.96,-3.81,5.66,-6.17,8.03,-8.54,10.39
6.0,-3.92,5.61,-6.3,8,-8.69,10.38
6.04,-4.05,5.57,-6.46,7.98,-8.86,10.38
6.08,-4.16,5.55,-6.59,7.97,-9.01,10.4
6.13,-4.24,5.49,-6.67,7.93,-9.1,10.36
6.17,-4.33,5.47,-6.78,7.91,-9.23,10.36
6.21,-4.44,5.44,-6.91,7.91,-9.37,10.38
6.25,-4.53,5.43,-7.02,7.92,-9.51,10.4
6.29,-4.61,5.44,-7.13,7.95,-9.64,10.47
6.33,-4.68,5.46,-7.21,8,-9.75,10.53
6.38,-4.57,5.59,-7.11,8.13,-9.65,10.66
6.42,-4.18,5.87,-6.69,8.38,-9.2,10.89
6.46,-3.62,6.23,-6.08,8.69,-8.54,11.15
6.5,-3.16,6.73,-5.64,9.21,-8.11,11.68
6.54,-2.88,7.25,-5.42,9.79,-7.95,12.32
6.58,-2.78,7.59,-5.37,10.18,-7.96,12.77
6.63,-2.78,7.59,-5.37,10.19,-7.97,12.78
6.67,-2.86,7.36,-5.42,9.91,-7.97,12.47
6.71,-3,6.95,-5.49,9.43,-7.97,11.92
6.75,-3.13,6.56,-5.56,8.99,-7.98,11.41
6.79,-3.24,6.28,-5.63,8.66,-8.01,11.04
6.83,-3.36,6.08,-5.72,8.44,-8.08,10.8
6.88,-3.45,5.87,-5.79,8.2,-8.12,10.54
6.92,-3.56,5.75,-5.89,8.07,-8.22,10.4
6.96,-3.69,5.69,-6.04,8.03,-8.38,10.38
7.0,-3.79,5.63,-6.15,7.99,-8.51,10.34
7.04,-3.92,5.58,-6.29,7.96,-8.67,10.34
7.08,-4.02,5.54,-6.41,7.93,-8.8,10.32
7.13,-4.08,5.48,-6.47,7.87,-8.86,10.26
7.17,-4.16,5.45,-6.57,7.86,-8.97,10.26
7.21,-4.26,5.43,-6.68,7.85,-9.1,10.27
7.25,-4.35,5.42,-6.79,7.86,-9.23,10.3
7.29,-4.43,5.42,-6.89,7.88,-9.35,10.34
7.33,-4.49,5.45,-6.98,7.93,-9.46,10.41
7.38,-4.4,5.58,-6.89,8.08,-9.39,10.58
7.42,-4.03,5.89,-6.51,8.37,-8.99,10.85
7.46,-3.5,6.29,-5.95,8.73,-8.39,11.18
7.5,-3.06,6.79,-5.53,9.26,-7.99,11.72
7.54,-2.8,7.31,-5.33,9.84,-7.86,12.37
7.58,-2.7,7.63,-5.29,10.21,-7.87,12.8
7.63,-2.71,7.63,-5.3,10.21,-7.88,12.8
7.67,-2.79,7.38,-5.33,9.92,-7.88,12.46
7.71,-2.93,6.98,-5.41,9.46,-7.89,11.94
7.75,-3.07,6.6,-5.48,9.02,-7.9,11.44
7.79,-3.18,6.34,-5.56,8.71,-7.94,11.09
7.83,-3.29,6.13,-5.64,8.48,-8,10.83
7.88,-3.4,5.95,-5.74,8.28,-8.07,10.62
7.92,-3.51,5.84,-5.85,8.18,-8.19,10.52
7.96,-3.64,5.8,-6,8.16,-8.36,10.52
8.0,-3.75,5.75,-6.12,8.13,-8.49,10.5
8.04,-3.87,5.73,-6.27,8.13,-8.67,10.53
8.08,-3.97,5.69,-6.38,8.11,-8.79,10.52
8.13,-4.02,5.62,-6.43,8.03,-8.84,10.44
8.17,-4.11,5.59,-6.53,8.02,-8.96,10.44
8.21,-4.21,5.58,-6.65,8.02,-9.1,10.47
8.25,-4.31,5.58,-6.78,8.05,-9.25,10.53
8.29,-4.4,5.59,-6.89,8.09,-9.39,10.58
8.33,-4.46,5.62,-6.98,8.14,-9.51,10.66
8.38,-4.36,5.75,-6.89,8.28,-9.42,10.81
8.42,-3.99,6.04,-6.49,8.55,-9,11.06
8.46,-3.46,6.44,-5.93,8.91,-8.41,11.38
8.5,-3.03,6.95,-5.53,9.45,-8.03,11.94
8.54,-2.77,7.46,-5.33,10.02,-7.88,12.58
8.58,-2.66,7.76,-5.26,10.37,-7.87,12.97
8.63,-2.66,7.75,-5.26,10.35,-7.86,12.95
8.67,-2.75,7.51,-5.32,10.08,-7.89,12.65
8.71,-2.9,7.13,-5.41,9.64,-7.92,12.15
8.75,-3.03,6.74,-5.47,9.18,-7.92,11.63
8.79,-3.13,6.46,-5.53,8.86,-7.93,11.26
8.83,-3.24,6.25,-5.61,8.62,-7.98,10.99
8.88,-3.34,6.05,-5.68,8.4,-8.03,10.75
8.92,-3.44,5.93,-5.78,8.27,-8.12,10.61
8.96,-3.56,5.86,-5.91,8.21,-8.26,10.56
9.0,-3.66,5.81,-6.02,8.17,-8.39,10.54
9.04,-3.78,5.78,-6.16,8.17,-8.55,10.55
9.08,-3.88,5.74,-6.28,8.14,-8.68,10.55
9.13,-3.93,5.66,-6.33,8.06,-8.73,10.46
9.17,-4.03,5.65,-6.44,8.07,-8.86,10.48
9.21,-4.13,5.63,-6.57,8.07,-9,10.51
9.25,-4.23,5.64,-6.7,8.11,-9.17,10.58
9.29,-4.32,5.65,-6.82,8.14,-9.31,10.63
9.33,-4.4,5.69,-6.92,8.21,-9.44,10.73
9.38,-4.31,5.83,-6.84,8.37,-9.37,10.9
9.42,-3.94,6.11,-6.45,8.62,-8.96,11.13
9.46,-3.43,6.49,-5.91,8.98,-8.39,11.46
9.5,-3.01,7.02,-5.52,9.53,-8.03,12.03
9.54,-2.75,7.53,-5.33,10.1,-7.9,12.67
9.58,-2.65,7.83,-5.27,10.45,-7.89,13.06
9.63,-2.65,7.82,-5.27,10.44,-7.89,13.05
9.67,-2.75,7.59,-5.33,10.17,-7.92,12.76
9.71,-2.9,7.21,-5.42,9.73,-7.95,12.26
9.75,-3.03,6.81,-5.49,9.27,-7.95,11.73
9.79,-3.13,6.53,-5.54,8.95,-7.96,11.37
9.83,-3.23,6.33,-5.62,8.72,-8.01,11.1
9.88,-3.33,6.14,-5.69,8.51,-8.06,10.88
9.92,-3.43,6.02,-5.79,8.38,-8.15,10.75
9.96,-3.55,5.96,-5.92,8.34,-8.3,10.72
10.0,-3.64,5.92,-6.03,8.31,-8.41,10.7
10.04,-3.75,5.9,-6.17,8.31,-8.58,10.72
10.08,-3.86,5.86,-6.28,8.29,-8.71,10.72
10.13,-3.92,5.78,-6.34,8.2,-8.77,10.63
10.17,-4.03,5.76,-6.47,8.21,-8.92,10.65
10.21,-4.14,5.75,-6.61,8.22,-9.08,10.69
10.25,-4.26,5.78,-6.77,8.28,-9.27,10.79
10.29,-4.35,5.79,-6.89,8.32,-9.42,10.85
10.33,-4.43,5.82,-6.99,8.38,-9.55,10.94
10.38,-4.34,5.95,-6.91,8.53,-9.48,11.1
10.42,-3.98,6.22,-6.52,8.76,-9.07,11.31
10.46,-3.46,6.59,-5.97,9.1,-8.48,11.61
10.5,-3.03,7.11,-5.57,9.65,-8.1,12.18
10.54,-2.76,7.61,-5.36,10.2,-7.95,12.8
10.58,-2.65,7.9,-5.29,10.53,-7.93,13.17
10.63,-2.65,7.87,-5.28,10.5,-7.91,13.13
10.67,-2.75,7.65,-5.35,10.26,-7.95,12.86
10.71,-2.9,7.28,-5.45,9.83,-8,12.38
10.75,-3.05,6.9,-5.54,9.39,-8.03,11.88
10.79,-3.18,6.64,-5.63,9.1,-8.09,11.55
10.83,-3.31,6.46,-5.76,8.91,-8.2,11.35
10.88,-3.43,6.31,-5.87,8.74,-8.3,11.18
10.92,-3.53,6.18,-5.96,8.61,-8.39,11.04
10.96,-3.65,6.11,-6.09,8.54,-8.53,10.98
11.0,-3.74,6.07,-6.2,8.52,-8.65,10.97
11.04,-3.87,6.05,-6.35,8.53,-8.83,11.01
11.08,-3.98,6.01,-6.48,8.5,-8.98,11
11.13,-4.06,5.93,-6.55,8.42,-9.05,10.92
11.17,-4.18,5.91,-6.7,8.43,-9.22,10.95
11.21,-4.31,5.93,-6.87,8.49,-9.43,11.05
11.25,-4.45,5.97,-7.06,8.58,-9.66,11.19
11.29,-4.53,5.95,-7.15,8.57,-9.77,11.19
11.33,-4.58,5.92,-7.21,8.55,-9.84,11.18
11.38,-4.48,6.04,-7.11,8.66,-9.73,11.29
11.42,-4.11,6.3,-6.71,8.9,-9.31,11.51
11.46,-3.59,6.67,-6.15,9.24,-8.72,11.8
11.5,-3.15,7.18,-5.73,9.76,-8.31,12.34
11.54,-2.87,7.68,-5.51,10.32,-8.15,12.96
11.58,-2.78,7.99,-5.47,10.68,-8.16,13.37
11.63,-2.8,7.98,-5.49,10.67,-8.18,13.36
11.67,-2.9,7.76,-5.57,10.43,-8.24,13.09
11.71,-3.09,7.4,-5.71,10.02,-8.33,12.64
11.75,-3.27,7.05,-5.85,9.63,-8.43,12.21
